,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,rushing_epa_standardized,rushing_epa_per_attempt,rushing_epa_per_attempt_allowed,rushing_epa_per_attempt_allowed_standardized,rushing_epa_allowed_standardized,rush_def_value
20,2014,1,MIA,NE,33,20,20,89.0,3.5053282,1.0,0.8615247738320783,0.17526641,0.17526641,1.0887779403852953,0.8615247738320783,0.8615247738320783
21,2014,1,MIN,LA,34,6,21,73.0,-1.5054839,0.0,-0.08684264141258193,-0.07168970952380953,-0.07168970952380953,-0.06852485429360924,-0.08684264141258193,-0.08684264141258193
22,2014,1,NE,MIA,20,33,36,193.0,3.308691,1.0,0.8243083886666982,0.09190808333333333,0.09190808333333333,0.6981384024904287,0.8243083886666982,0.8243083886666982
23,2014,1,NO,ATL,34,37,25,123.0,2.5593936,1.0,0.682493204958743,0.10237574399999999,0.10237574399999999,0.7471926756408286,0.682493204958743,0.682493204958743
24,2014,1,NYG,DET,14,35,27,79.0,-3.1919725,2.0,-0.40603458126232916,-0.1182212037037037,-0.1182212037037037,-0.2865839506173382,-0.40603458126232916,-0.40603458126232916
25,2014,1,NYJ,LV,19,14,14,26.0,-5.539876,0.0,-0.850408692504475,-0.39570542857142854,-0.39570542857142854,-1.5869496574398672,-0.850408692504475,-0.850408692504475
27,2014,1,PHI,JAX,34,17,24,64.0,-6.572697,0.0,-1.045884747609476,-0.273862375,-0.273862375,-1.0159603388421932,-1.045884747609476,-1.045884747609476
28,2014,1,PIT,CLE,30,27,31,191.0,7.318065,2.0,1.5831394087181472,0.2360666129032258,0.2360666129032258,1.3737040433408598,1.5831394087181472,1.5831394087181472
30,2014,1,SEA,GB,36,16,21,80.0,0.38006765,1.0,0.27002479127044815,0.018098459523809524,0.018098459523809524,0.35224665429779084,0.27002479127044815,0.27002479127044815
31,2014,1,SF,DAL,28,17,23,127.0,-1.887739,1.0,-0.15918985258641324,-0.08207560869565218,-0.08207560869565218,-0.11719597108959529,-0.15918985258641324,-0.15918985258641324
32,2014,1,TB,CAR,14,20,33,113.0,-6.2476344,0.0,-0.9843620300135181,-0.18932225454545454,-0.18932225454545454,-0.6197825974151221,-0.9843620300135181,-0.9843620300135181
33,2014,1,TEN,KC,26,10,17,67.0,-2.9752314,0.0,-0.3650132472585488,-0.1750136117647059,-0.1750136117647059,-0.5527284490500074,-0.3650132472585488,-0.3650132472585488
34,2014,1,WAS,HOU,6,17,32,117.0,-9.128966,0.0,-1.529694991501889,-0.2852801875,-0.2852801875,-1.069467279025936,-1.529694991501889,-1.529694991501889
35,2014,2,ARI,NYG,25,14,27,81.0,-7.6867027,0.0,-1.2567261611753167,-0.28469269259259256,-0.28469269259259256,-1.0667141198836834,-1.2567261611753167,-1.2567261611753167
