,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,rushing_epa_standardized,rushing_epa_per_attempt,rushing_epa_per_attempt_standardized,rush_discrepancy,rush_discrepancy_abs,rushing_value
4918,2021,12,PIT,CIN,10,41,15,51.0,-3.6798015,0.0,-0.49836315367305434,-0.24532009999999999,-0.882203561777152,0.38384040810409764,0.38384040810409764,-0.49836315367305434
4919,2021,12,SEA,WAS,15,17,12,34.0,-3.9461677,0.0,-0.5487767432392131,-0.32884730833333337,-1.2736345245825664,0.7248577813433533,0.7248577813433533,-0.5487767432392131
4920,2021,12,SF,MIN,34,26,37,210.0,4.6632776,3.0,1.0806831572530222,0.12603452972972973,0.858064108576046,0.22261904867697624,0.22261904867697624,1.0806831572530222
4921,2021,12,TB,IND,38,31,26,143.0,9.14211,4.0,1.9283658525394884,0.3516196153846154,1.9152164908279419,0.01314936171154657,0.01314936171154657,1.9283658525394884
4922,2021,12,TEN,NE,13,36,38,271.0,3.9628057,1.0,0.9481088934416698,0.10428436052631579,0.7561369660035651,0.19197192743810476,0.19197192743810476,0.9481088934416698
4923,2021,12,WAS,SEA,17,15,42,156.0,-4.3376966,1.0,-0.6228791528838663,-0.10327849047619048,-0.21655837760610047,-0.40632077527776583,0.40632077527776583,-0.6228791528838663
4924,2021,13,ARI,CHI,33,22,35,137.0,-0.40456966,2.0,0.12152102726197067,-0.011559133142857142,0.21326319868322843,-0.09174217142125776,0.09174217142125776,0.12152102726197067
4926,2021,13,ATL,TB,17,30,23,121.0,2.2439826,1.0,0.6227971898537795,0.0975644608695652,0.7246457089020398,-0.10184851904826031,0.10184851904826031,0.6227971898537795
4927,2021,13,BAL,PIT,19,20,25,107.0,1.2358257,1.0,0.431989166257351,0.049433028,0.4990888695766734,-0.06709970331932241,0.06709970331932241,0.431989166257351
4928,2021,13,BUF,NE,10,14,25,99.0,-3.8691657,0.0,-0.5342030202076372,-0.154766628,-0.4578456377234654,-0.07635738248417179,0.07635738248417179,-0.5342030202076372
4929,2021,13,CHI,ARI,22,33,27,112.0,3.1198795,1.0,0.7885731284633735,0.1155510925925926,0.8089359026419561,-0.020362774178582677,0.020362774178582677,0.7885731284633735
4930,2021,13,CIN,LAC,22,41,26,96.0,-14.66454,2.0,-2.5773810554585768,-0.5640207692307693,-2.375720612004557,-0.20166044345401968,0.20166044345401968,-2.5773810554585768
4931,2021,13,DAL,NO,27,17,21,149.0,1.7121737,1.0,0.5221447962233925,0.08153208095238094,0.6495136647182859,-0.12736886849489337,0.12736886849489337,0.5221447962233925
4932,2021,13,DEN,KC,9,22,31,154.0,1.0615101,0.0,0.3989974611784833,0.03424226129032258,0.42790085123428934,-0.028903390055806055,0.028903390055806055,0.3989974611784833
4933,2021,13,DET,MIN,29,27,27,100.0,-9.097339,0.0,-1.5237091321953817,-0.3369384814814815,-1.3115519380673533,-0.21215719412802847,0.21215719412802847,-1.5237091321953817
4934,2021,13,HOU,IND,0,31,19,84.0,-3.5238068,0.0,-0.46883893933844256,-0.18546351578947368,-0.6016995098008389,0.1328605704623963,0.1328605704623963,-0.46883893933844256
4936,2021,13,IND,HOU,31,0,46,240.0,8.962854,3.0,1.8944391065361614,0.19484465217391306,1.1805268487600296,0.7139122577761319,0.7139122577761319,1.8944391065361614
4937,2021,13,JAX,LA,7,37,25,61.0,-18.080446,1.0,-3.2238898207620537,-0.7232178399999999,-3.1217609015150303,-0.10212891924702339,0.10212891924702339,-3.2238898207620537
4938,2021,13,KC,DEN,22,9,22,91.0,0.5002326,1.0,0.2927677161217918,0.022737845454545456,0.3739880645272182,-0.08122034840542641,0.08122034840542641,0.2927677161217918
4939,2021,13,LA,JAX,37,7,27,128.0,2.8054183,1.0,0.7290568765091774,0.10390438148148148,0.7543562820045043,-0.025299405495326943,0.025299405495326943,0.7290568765091774
4940,2021,13,LAC,CIN,41,22,22,79.0,-0.5977977,1.0,0.08494987408550415,-0.027172622727272725,0.14009418725894585,-0.05514431317344169,0.05514431317344169,0.08494987408550415
4942,2021,13,LV,WAS,15,17,16,76.0,-0.5776787,1.0,0.08875768081354077,-0.03610491875,0.09823504576476275,-0.009477364951221978,0.009477364951221978,0.08875768081354077
4943,2021,13,MIA,NYG,20,9,24,69.0,-6.345151,0.0,-1.0028184326963183,-0.2643812916666667,-0.9715294324147363,-0.03128900028158199,0.03128900028158199,-1.0028184326963183
4944,2021,13,MIN,DET,27,29,28,101.0,-0.5393993,1.0,0.09600260137943396,-0.019264260714285716,0.17715489859750394,-0.08115229721806998,0.08115229721806998,0.09600260137943396
4946,2021,13,NE,BUF,14,10,45,232.0,0.24321043,1.0,0.24412261705222707,0.005404676222222222,0.29276017176679575,-0.04863755471456868,0.04863755471456868,0.24412261705222707
4947,2021,13,NO,DAL,17,27,26,153.0,3.508089,0.0,0.862047294474991,0.1349265,0.8997342727486466,-0.037686978273655636,0.037686978273655636,0.862047294474991
4948,2021,13,NYG,MIA,9,20,17,91.0,2.2481582,0.0,0.6235874815071216,0.13224460000000002,0.8871661680544437,-0.2635786865473221,0.2635786865473221,0.6235874815071216
4949,2021,13,NYJ,PHI,18,33,16,71.0,-0.6642124,1.0,0.0723799480702681,-0.041513275,0.0728900338054998,-0.0005100857352317023,0.0005100857352317023,0.0723799480702681
4950,2021,13,PHI,NYJ,33,18,41,185.0,1.3512105,1.0,0.45382737977458154,0.03295635365853659,0.42187474222822613,0.03195263754635541,0.03195263754635541,0.45382737977458154
