,season,week,team,opponent,score,opponent_score,special_teams_epa,special_teams_epa_standardized,special_teams_value
5375,2022,6,CAR,LA,10,24,-1.9548938,-0.4100631292458739,-0.4100631292458739
5377,2022,6,CHI,WAS,7,12,-5.595286,-1.1736803739341894,-1.1736803739341894
5378,2022,6,CIN,NO,30,26,-5.2736173,-1.1062063895661116,-1.1062063895661116
5379,2022,6,CLE,NE,15,38,-0.90864587,-0.19059969847392197,-0.19059969847392197
5380,2022,6,DAL,PHI,17,26,-5.361756,-1.124694570934155,-1.124694570934155
5381,2022,6,DEN,LAC,16,19,-6.2500563,-1.3110265347104217,-1.3110265347104217
5382,2022,6,GB,NYJ,10,27,-4.3840046,-0.9195991336738116,-0.9195991336738116
5384,2022,6,IND,JAX,34,27,1.344791,0.2820865285069133,0.2820865285069133
5385,2022,6,JAX,IND,27,34,-1.344791,-0.2820865285069133,-0.2820865285069133
5386,2022,6,KC,BUF,20,24,-1.6161845,-0.33901466847389766,-0.33901466847389766
5387,2022,6,LA,CAR,24,10,1.9548938,0.4100631292458739,0.4100631292458739
5388,2022,6,LAC,DEN,19,16,6.2500563,1.3110265347104217,1.3110265347104217
5389,2022,6,MIA,MIN,16,24,-0.8266493,-0.17339990476562522,-0.17339990476562522
5391,2022,6,MIN,MIA,24,16,0.8266493,0.17339990476562522,0.17339990476562522
5392,2022,6,NE,CLE,38,15,0.90864587,0.19059969847392197,0.19059969847392197
5393,2022,6,NO,CIN,26,30,5.2736173,1.1062063895661116,1.1062063895661116
5395,2022,6,NYG,BAL,24,20,4.419451,0.9270344540500391,0.9270344540500391
5396,2022,6,NYJ,GB,27,10,4.3840046,0.9195991336738116,0.9195991336738116
5397,2022,6,PHI,DAL,26,17,5.361756,1.124694570934155,1.124694570934155
5398,2022,6,PIT,TB,20,18,4.629378,0.9710692361610668,0.9710692361610668
5400,2022,6,SEA,ARI,19,9,4.5605774,0.9566374602098647,0.9566374602098647
5401,2022,6,SF,ATL,14,28,0.62814116,0.1317603696311959,0.1317603696311959
5402,2022,6,TB,PIT,18,20,-4.629378,-0.9710692361610668,-0.9710692361610668
5403,2022,6,WAS,CHI,12,7,5.595286,1.1736803739341894,1.1736803739341894
5404,2022,7,ARI,NO,42,34,0.3537978,0.07421346008069893,0.07421346008069893
5405,2022,7,ATL,CIN,17,35,1.4177436,0.2973892377602868,0.2973892377602868
5406,2022,7,BAL,CLE,23,20,7.853238,1.6473137052215359,1.6473137052215359
5407,2022,7,CAR,TB,21,3,-0.88436776,-0.18550706492074606,-0.18550706492074606
5408,2022,7,CHI,NE,33,14,6.1377497,1.2874688376984589,1.2874688376984589
5409,2022,7,CIN,ATL,35,17,-1.4177436,-0.2973892377602868,-0.2973892377602868
5410,2022,7,CLE,BAL,20,23,-7.853238,-1.6473137052215359,-1.6473137052215359
5411,2022,7,DAL,DET,24,6,0.6758586,0.14176969226856997,0.14176969226856997
5412,2022,7,DEN,NYJ,9,16,-9.09051,-1.9068467949721408,-1.9068467949721408
5413,2022,7,DET,DAL,6,24,-0.6758586,-0.14176969226856997,-0.14176969226856997
5414,2022,7,GB,WAS,21,23,-3.2736814,-0.6866951233044032,-0.6866951233044032
