,season,week,team,opponent,score,opponent_score,special_teams_epa,special_teams_epa_standardized,special_teams_value
1131,2015,15,JAX,ATL,17,23,-1.697142,-0.3559965038820184,-0.3559965038820184
1132,2015,15,KC,BAL,34,14,-0.8630587,-0.18103722602172345,-0.18103722602172345
1133,2015,15,LA,TB,31,23,6.9158473,1.4506844213282666,1.4506844213282666
1134,2015,15,LAC,MIA,30,14,-1.0575178,-0.22182742492555346,-0.22182742492555346
1135,2015,15,LV,GB,20,30,-1.7236364,-0.36155403163894845,-0.36155403163894845
1136,2015,15,MIA,LAC,14,30,1.0575178,0.22182742492555346,0.22182742492555346
1137,2015,15,MIN,CHI,38,17,-6.0693974,-1.2731310963199383,-1.2731310963199383
1138,2015,15,NE,TEN,33,16,-4.6364293,-0.9725483320170935,-0.9725483320170935
1139,2015,15,NO,DET,27,35,-0.64572906,-0.13544964877130028,-0.13544964877130028
1140,2015,15,NYG,CAR,35,38,2.8310494,0.59384759125476,0.59384759125476
1141,2015,15,NYJ,DAL,19,16,-9.195703,-1.9289123236225305,-1.9289123236225305
1142,2015,15,PHI,ARI,17,40,3.9580493,0.8302497451554851,0.8302497451554851
1143,2015,15,PIT,DEN,34,27,1.3705571,0.2874912859210826,0.2874912859210826
1144,2015,15,SEA,CLE,30,13,-0.18573666,-0.03896055934195437,-0.03896055934195437
1145,2015,15,SF,CIN,14,24,-1.3018271,-0.2730743192136349,-0.2730743192136349
1146,2015,15,TB,LA,23,31,-6.9158473,-1.4506844213282666,-1.4506844213282666
1147,2015,15,TEN,NE,16,33,4.6364293,0.9725483320170935,0.9725483320170935
1149,2015,15,WAS,BUF,35,25,-2.0594428,-0.4319935731629969,-0.4319935731629969
1150,2015,16,ARI,GB,38,8,3.3945107,0.7120405608900747,0.7120405608900747
1152,2015,16,ATL,CAR,20,13,-3.0604458,-0.6419663205084826,-0.6419663205084826
1153,2015,16,BAL,PIT,20,17,2.0932627,0.4390877150566272,0.4390877150566272
1154,2015,16,BUF,DAL,16,6,6.5773115,1.3796723544305631,1.3796723544305631
1155,2015,16,CAR,ATL,13,20,3.0604458,0.6419663205084826,0.6419663205084826
1156,2015,16,CHI,TB,26,21,2.8758962,0.6032547616684887,0.6032547616684887
1157,2015,16,CIN,DEN,17,20,-1.0039109,-0.21058271529963352,-0.21058271529963352
1158,2015,16,CLE,KC,13,17,1.5928607,0.3341222127382768,0.3341222127382768
1159,2015,16,DAL,BUF,6,16,-6.5773115,-1.3796723544305631,-1.3796723544305631
1160,2015,16,DEN,CIN,20,17,1.0039109,0.21058271529963352,0.21058271529963352
1161,2015,16,DET,SF,32,17,5.176543,1.0858438540764033,1.0858438540764033
1162,2015,16,GB,ARI,8,38,-3.3945107,-0.7120405608900747,-0.7120405608900747
1164,2015,16,HOU,TEN,34,6,3.384279,0.7098943353952312,0.7098943353952312
1166,2015,16,IND,MIA,18,12,-0.06496453,-0.013627112849919748,-0.013627112849919748
1168,2015,16,JAX,NO,27,38,6.6680183,1.398699226476818,1.398699226476818
