,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,rushing_epa_standardized,rushing_epa_per_attempt,rushing_epa_per_attempt_standardized,rushing_value
2405,2017,15,TB,ATL,21,24,18,84.0,-6.0793676,0.0,-0.9525151472273293,-0.33774264444444446,-1.315320462886365,-1.315320462886365
2406,2017,15,TEN,SF,23,25,28,90.0,-2.2422738,0.0,-0.22629060377132634,-0.08008120714285714,-0.10784966985769848,-0.10784966985769848
2407,2017,15,WAS,ARI,20,15,19,32.0,-7.912888,0.0,-1.2995349452336402,-0.4164677894736842,-1.6842476655569345,-1.6842476655569345
2408,2017,16,ARI,NYG,23,0,26,75.0,-5.7114067,0.0,-0.882873316576184,-0.21966948846153847,-0.7619978982714596,-0.7619978982714596
2410,2017,16,ATL,NO,13,23,19,68.0,-15.312056,0.0,-2.6999326636199528,-0.8058976842105263,-3.5092208891463694,-3.5092208891463694
2411,2017,16,BAL,IND,23,16,29,106.0,-1.3665705,0.0,-0.06055130669044311,-0.04712312068965517,0.04660078731247884,0.04660078731247884
2412,2017,16,BUF,NE,16,37,24,84.0,-1.3821311,0.0,-0.06349637142430538,-0.05758879583333334,-0.0024441811455917437,-0.0024441811455917437
2413,2017,16,CAR,TB,22,19,30,117.0,1.2100551,1.0,0.42711171317554225,0.04033517,0.456453859320158,0.456453859320158
2415,2017,16,CHI,CLE,20,3,31,97.0,2.119776,3.0,0.5992893245946022,0.06837987096774194,0.5878788706544503,0.5878788706544503
2416,2017,16,CIN,DET,26,17,32,144.0,1.7517762,1.0,0.5296401315655185,0.05474300625,0.5239728549634672,0.5239728549634672
2417,2017,16,CLE,CHI,3,20,20,76.0,-1.3845234,0.0,-0.0639491482043022,-0.06922617,-0.05698004635288309,-0.05698004635288309
2418,2017,16,DAL,SEA,12,21,30,128.0,1.7302833,0.0,0.5255722947328496,0.057676109999999996,0.5377181679918287,0.5377181679918287
2419,2017,16,DEN,WAS,11,27,29,159.0,7.816435,1.0,1.6774630146668987,0.26953224137931037,1.5305329781690338,1.5305329781690338
2420,2017,16,DET,CIN,17,26,22,87.0,4.3865557,1.0,1.0283096036265704,0.19938889545454544,1.201822394169904,1.201822394169904
2421,2017,16,GB,MIN,0,16,24,113.0,-0.9121039,0.0,0.02546295730826389,-0.03800432916666666,0.08933389688074633,0.08933389688074633
2422,2017,16,HOU,PIT,6,34,28,176.0,3.4036705,0.0,0.8422846084493189,0.12155966071428571,0.8370936680678364,0.8370936680678364
2424,2017,16,IND,BAL,16,23,24,93.0,-1.0764863,0.0,-0.005648748481206794,-0.044853595833333336,0.05723639117606217,0.05723639117606217
2425,2017,16,JAX,SF,33,44,28,92.0,-0.8006327,2.0,0.04656046639925687,-0.028594025,0.13343311309937744,0.13343311309937744
2426,2017,16,KC,MIA,29,13,32,105.0,-6.3222218,1.0,-0.9984787565926706,-0.19756943125,-0.6584310863858269,-0.6584310863858269
