,season,week,team,opponent,score,opponent_score,total_plays,total_possession_time_seconds,pass_percentage,run_percentage,total_plays_standardized,total_possession_time_standardized,pass_percentage_standardized
2667,2018,5,CLE,BAL,12,9,79.0,2176.0,0.6266666666666667,0.3733333333333333,1.4687632243827835,1.3267228152646162,0.35142892725999386
2668,2018,5,DAL,HOU,16,19,63.0,1892.0,0.5254237288135594,0.4745762711864407,-0.3259294728516722,0.2689885218005883,-0.6052361049331143
2669,2018,5,DEN,NYJ,16,34,73.0,1866.0,0.7671232876712328,0.2328767123287671,0.7957534629198627,0.17215369211726178,1.6786319964757928
2670,2018,5,DET,GB,31,23,59.0,1600.0,0.5178571428571429,0.4821428571428571,-0.7746026471602862,-0.8185411038736939,-0.676734308670442
2671,2018,5,GB,DET,23,31,81.0,2000.0,0.7532467532467533,0.2467532467532467,1.6930998115370905,0.6712255066390215,1.5475098112307895
2672,2018,5,HOU,DAL,19,16,81.0,2198.0,0.5921052631578947,0.4078947368421052,1.6930998115370905,1.4086599788428156,0.02485122316047189
2673,2018,5,IND,NE,24,38,83.0,1946.0,0.7407407407407407,0.2592592592592592,1.9174363986913976,0.47010701421980483,1.4293379652692417
2674,2018,5,JAX,KC,14,30,83.0,1637.0,0.7951807228915663,0.2048192771084337,1.9174363986913976,-0.6807376924012678,1.9437523864753459
2675,2018,5,KC,JAX,30,14,78.0,2038.0,0.582089552238806,0.417910447761194,1.3565949308056302,0.8127533346377294,-0.0697892585563749
2676,2018,5,LA,SEA,33,31,65.0,1770.0,0.5409836065573771,0.4590163934426229,-0.1015928856973652,-0.1853902944057899,-0.4582076676083538
2677,2018,5,LAC,LV,26,10,62.0,2080.0,0.5,0.5,-0.43809776642882564,0.9691788287415645,-0.8454700694905358
2678,2018,5,LV,LAC,10,26,51.0,1520.0,0.723404255319149,0.2765957446808511,-1.671948995777514,-1.116494425976237,1.2655220020459526
2679,2018,5,MIA,CIN,17,27,61.0,1765.0,0.6271186440677966,0.3728813559322034,-0.5502660600059791,-0.20401237703719888,0.35569975329656983
2680,2018,5,MIN,PHI,23,21,66.0,1967.0,0.6440677966101694,0.3559322033898305,0.010575407879788277,0.5483197612717224,0.5158557296681835
