,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,ypc_allowed,epa_allowed_per_carry,rush_td_allowed_per_carry,rush_def_win,rush_def_win_pred,rush_def_value
50,2014,2,LV,HOU,14,30,45,189.0,1.7701228,1.0,4.2,0.0393360622222222,0.0222222222222222,0,0,0.3495902420632677
51,2014,2,MIA,BUF,10,29,32,115.0,-11.031355,0.0,3.59375,-0.34472984375,0.0,0,1,0.8388317750396342
52,2014,2,MIN,NE,7,30,37,150.0,-3.830207,1.0,4.054054054054054,-0.1035191081081081,0.027027027027027,0,1,0.555679684271463
53,2014,2,NE,MIN,30,7,18,55.0,-2.5241969,0.0,3.055555555555556,-0.1402331611111111,0.0,1,1,0.6084213104597279
54,2014,2,NO,CLE,24,26,31,122.0,0.6954638,1.0,3.935483870967742,0.0224343161290322,0.032258064516129,0,0,0.37263565879104327
55,2014,2,NYG,ARI,14,25,27,126.0,0.06527841,1.0,4.666666666666667,0.0024177188888888,0.037037037037037,0,0,0.40068821661996296
56,2014,2,NYJ,GB,24,31,20,82.0,-7.9958215,0.0,4.1,-0.399791075,0.0,1,1,0.8781530859284405
57,2014,2,PHI,IND,30,27,37,170.0,-6.972015,0.0,4.594594594594595,-0.1884328378378378,0.0,0,1,0.6738418543488137
58,2014,2,PIT,BAL,6,26,34,159.0,0.9418376,0.0,4.676470588235294,0.0277011058823529,0.0,0,0,0.3653864003060844
59,2014,2,SEA,LAC,21,30,37,101.0,-4.4835353,0.0,2.72972972972973,-0.1211766297297297,0.0,1,1,0.5812796214822941
60,2014,2,SF,CHI,20,28,15,48.0,-4.763488,0.0,3.2,-0.3175658666666666,0.0,1,1,0.8159254071998304
61,2014,2,TB,LA,17,19,29,119.0,-6.0229993,1.0,4.103448275862069,-0.2076896310344827,0.0344827586206896,0,1,0.6983492492236291
62,2014,2,TEN,DAL,10,26,43,220.0,-0.31219563,1.0,5.116279069767442,-0.007260363488372,0.0232558139534883,0,0,0.41450163830340814
63,2014,2,WAS,JAX,41,10,10,25.0,-3.1424475,0.0,2.5,-0.3142447499999999,0.0,1,1,0.8129584344369507
64,2014,3,ARI,SF,23,14,23,82.0,-1.6960676,1.0,3.565217391304348,-0.0737420695652173,0.0434782608695652,1,1,0.5119026454351512
65,2014,3,ATL,TB,56,14,18,64.0,-12.065042,0.0,3.555555555555556,-0.6702801111111111,0.0,1,1,0.9727228302862927
66,2014,3,BAL,CLE,23,21,30,85.0,-4.7492023,2.0,2.833333333333333,-0.1583067433333333,0.0666666666666666,1,1,0.6335606995231241
67,2014,3,BUF,LAC,10,22,36,83.0,-5.0094876,0.0,2.305555555555556,-0.1391524333333333,0.0,1,1,0.6068981828355111
68,2014,3,CAR,PIT,19,37,32,266.0,13.761656,1.0,8.3125,0.43005175,0.03125,0,0,0.05066370765385226
69,2014,3,CHI,NYJ,27,19,26,114.0,-0.26659518,0.0,4.384615384615385,-0.0102536607692307,0.0,0,0,0.41880239660353896
70,2014,3,CIN,TEN,33,7,27,150.0,5.7031426,1.0,5.555555555555555,0.2112275037037037,0.037037037037037,0,0,0.16287701153431744
71,2014,3,CLE,BAL,21,23,32,161.0,1.1699749,1.0,5.03125,0.036561715625,0.03125,0,0,0.3533284806277977
72,2014,3,DAL,LA,34,31,29,122.0,-6.3243012,0.0,4.206896551724138,-0.2180793517241379,0.0,0,1,0.7111278823899647
73,2014,3,DEN,SEA,20,26,36,130.0,1.2739044,1.0,3.611111111111111,0.0353862333333333,0.0277777777777777,0,0,0.35491782000938715
74,2014,3,DET,GB,19,7,22,76.0,-11.741176,0.0,3.4545454545454546,-0.5336898181818182,0.0,1,1,0.9408438571357888
75,2014,3,GB,DET,7,19,35,118.0,-2.5669446,1.0,3.3714285714285714,-0.0733412742857142,0.0285714285714285,0,1,0.5113106402168045
76,2014,3,HOU,NYG,17,30,41,194.0,-1.825929,1.0,4.7317073170731705,-0.0445348536585365,0.024390243902439,0,0,0.468781007160044
77,2014,3,IND,JAX,44,17,20,105.0,-0.8658555,0.0,5.25,-0.043292775,0.0,1,0,0.46695295629675515
78,2014,3,JAX,IND,17,44,28,145.0,-2.7727408,0.0,5.178571428571429,-0.0990264571428571,0.0,0,1,0.5491131296449001
79,2014,3,KC,MIA,34,15,20,141.0,-1.320002,0.0,7.05,-0.0660000999999999,0.0,0,1,0.5004632477479564
80,2014,3,LA,DAL,31,34,27,125.0,-3.2102904,1.0,4.62962962962963,-0.1188996444444444,0.037037037037037,0,1,0.5779999124029882
81,2014,3,LAC,BUF,22,10,22,87.0,-3.3553154,0.0,3.954545454545455,-0.1525143363636363,0.0,1,1,0.6255753391704204
82,2014,3,LV,NE,9,16,29,83.0,-4.682076,0.0,2.862068965517241,-0.1614508965517241,0.0,1,1,0.6378649922001806
83,2014,3,MIA,KC,15,34,41,174.0,-0.58159745,2.0,4.243902439024391,-0.0141853036585365,0.048780487804878,0,0,0.42447007088673483
84,2014,3,MIN,NO,9,20,30,110.0,-7.4160786,1.0,3.6666666666666665,-0.2472026199999999,0.0333333333333333,0,1,0.7451727368431404
85,2014,3,NE,LV,16,9,22,67.0,-5.671562,0.0,3.0454545454545454,-0.2577982727272727,0.0,1,1,0.7568830684677517
86,2014,3,NO,MIN,20,9,20,62.0,-1.6793597,0.0,3.1,-0.083967985,0.0,1,1,0.5269912330770113
87,2014,3,NYG,HOU,30,17,25,119.0,-3.3719087,1.0,4.76,-0.134876348,0.04,0,1,0.6008515129615125
88,2014,3,NYJ,CHI,19,27,18,63.0,-1.5932924,0.0,3.5,-0.0885162444444444,0.0,1,1,0.5336881309118993
89,2014,3,PHI,WAS,37,34,27,85.0,-1.6041733,1.0,3.1481481481481484,-0.0594138259259259,0.037037037037037,1,0,0.4907306343150657
90,2014,3,PIT,CAR,37,19,10,42.0,-1.184868,0.0,4.2,-0.1184868,0.0,1,1,0.5774045158880818
91,2014,3,SEA,DEN,26,20,19,37.0,-13.378544,0.0,1.947368421052632,-0.7041338947368421,0.0,1,1,0.977559141482633
92,2014,3,SF,ARI,14,23,24,90.0,-0.15191317,0.0,3.75,-0.0063297154166666,0.0,1,0,0.4131671057993942
93,2014,3,TB,ATL,14,56,36,144.0,-12.540653,3.0,4.0,-0.3483514722222222,0.0833333333333333,0,1,0.8417051991603357
94,2014,3,TEN,CIN,7,33,30,117.0,3.592825,3.0,3.9,0.1197608333333333,0.1,0,0,0.2504392156485855
95,2014,3,WAS,PHI,34,37,23,56.0,-11.139548,0.0,2.4347826086956523,-0.4843281739130434,0.0,1,1,0.9223559161249405
96,2014,4,ATL,MIN,28,41,44,241.0,7.271222,4.0,5.477272727272728,0.1652550454545454,0.0909090909090909,0,0,0.2033948745403752
97,2014,4,BAL,CAR,38,10,26,67.0,-13.087623,0.0,2.576923076923077,-0.5033701153846154,0.0,1,1,0.9300437832289138
98,2014,4,BUF,HOU,17,23,21,39.0,-6.6071725,0.0,1.8571428571428568,-0.3146272619047619,0.0,1,1,0.8133020248829058
