,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,qb_rush_yards,qb_rushing_epa,qb_rush_tds,rb_win,ypc,rushing_epa_per_carry,rb_win_pred,rb_value,rushing_value,qb_rushing_value_pct
67,2014,3,BUF,LAC,10,22,22,87.0,-3.3553154,0.0,24.0,0.0,0.0,0,3.954545454545455,-0.1525143363636363,0,0.36172341791288265,0.36172341791288265,0.2727272727272727
68,2014,3,CAR,PIT,19,37,10,42.0,-1.1848681,0.0,7.0,0.0,0.0,0,4.2,-0.11848681,0,0.40977631548646193,0.40977631548646193,0.16279069767441862
69,2014,3,CHI,NYJ,27,19,18,63.0,-1.5932922,0.0,17.0,1.7526025,0.0,0,3.5,-0.0885162333333333,0,0.45361092830895844,0.45361092830895844,0.265625
70,2014,3,CIN,TEN,33,7,30,117.0,3.592825,3.0,4.0,1.3243729,0.0,1,3.9,0.1197608333333333,1,0.7420114390119096,0.7420114390119096,0.03389830508474576
71,2014,3,CLE,BAL,21,23,30,85.0,-4.749202,2.0,-5.0,-2.7313104,0.0,0,2.833333333333333,-0.1583067333333333,0,0.3537837960824898,0.3537837960824898,-0.05813953488372093
72,2014,3,DAL,LA,34,31,27,125.0,-3.2102902,1.0,16.0,2.7915378,0.0,1,4.62962962962963,-0.118899637037037,0,0.4091807848083459,0.4091807848083459,0.12698412698412698
73,2014,3,DEN,SEA,20,26,19,37.0,-13.378544,0.0,0.0,0.0,0.0,0,1.947368421052632,-0.7041338947368421,0,0.020658614448453728,0.020658614448453728,0.0
74,2014,3,DET,GB,19,7,35,118.0,-2.5669446,1.0,11.0,0.96679366,0.0,1,3.3714285714285714,-0.0733412742857142,0,0.4761280186516357,0.4761280186516357,0.09243697478991597
75,2014,3,GB,DET,7,19,22,76.0,-11.741176,0.0,0.0,0.0,0.0,0,3.4545454545454546,-0.5336898181818182,0,0.055100938930389164,0.055100938930389164,0.0
76,2014,3,HOU,NYG,17,30,25,119.0,-3.3719087,1.0,34.0,1.9836384,1.0,1,4.76,-0.134876348,0,0.38635333299117663,0.38635333299117663,0.2833333333333333
77,2014,3,IND,JAX,44,17,28,145.0,-2.7727406,0.0,15.0,0.17189014,0.0,1,5.178571428571429,-0.09902645,0,0.43812050874895186,0.43812050874895186,0.10273972602739725
78,2014,3,JAX,IND,17,44,20,105.0,-0.8658556,0.0,30.0,1.8663038,0.0,0,5.25,-0.0432927799999999,1,0.5209135290379446,0.5209135290379446,0.2830188679245283
79,2014,3,KC,MIA,34,15,41,174.0,-0.5815978,2.0,17.0,2.2639089,0.0,1,4.243902439024391,-0.0141853121951219,1,0.5639853666646494,0.5639853666646494,0.09714285714285714
80,2014,3,LA,DAL,31,34,29,122.0,-6.3243017,0.0,0.0,0.0,0.0,1,4.206896551724138,-0.2180793689655172,0,0.27707040744630484,0.27707040744630484,0.0
81,2014,3,LAC,BUF,22,10,36,83.0,-5.0094876,0.0,9.0,1.9128555,0.0,0,2.305555555555556,-0.1391524333333333,0,0.38032304731004496,0.38032304731004496,0.10714285714285714
82,2014,3,LV,NE,9,16,22,67.0,-5.671562,0.0,0.0,0.0,0.0,0,3.0454545454545454,-0.2577982727272727,0,0.23218835808319807,0.23218835808319807,0.0
83,2014,3,MIA,KC,15,34,20,141.0,-1.320002,0.0,9.0,-0.360976,0.0,1,7.05,-0.0660000999999999,0,0.4870617521948944,0.4870617521948944,0.06338028169014084
84,2014,3,MIN,NO,9,20,20,62.0,-1.6793597,0.0,30.0,4.2381783,0.0,0,3.1,-0.083967985,0,0.46034409297419965,0.46034409297419965,0.47619047619047616
85,2014,3,NE,LV,16,9,29,83.0,-4.682076,0.0,0.0,0.0,0.0,0,2.862068965517241,-0.1614508965517241,0,0.34950730163987237,0.34950730163987237,0.0
86,2014,3,NO,MIN,20,9,30,110.0,-7.4160786,1.0,0.0,-2.5057154,0.0,1,3.6666666666666665,-0.2472026199999999,0,0.24364770973464894,0.24364770973464894,0.0
87,2014,3,NYG,HOU,30,17,41,194.0,-1.8259289,1.0,0.0,0.0,0.0,1,4.7317073170731705,-0.0445348512195122,1,0.5190640023845529,0.5190640023845529,0.0
88,2014,3,NYJ,CHI,19,27,26,114.0,-0.26659524,0.0,20.0,0.35302353,0.0,1,4.384615384615385,-0.010253663076923,1,0.5697442953605801,0.5697442953605801,0.17391304347826086
