,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,qb_rush_yards,qb_rushing_epa,qb_rush_tds,rb_win,ypc,rushing_epa_per_carry
91,2014,3,SEA,DEN,26,20,36,130.0,1.2739043,1.0,41.0,3.9217465,0.0,1,3.611111111111111,0.03538623055555556
92,2014,3,SF,ARI,14,23,23,82.0,-1.6960677,1.0,54.0,-0.585894,0.0,0,3.5652173913043477,-0.07374207391304348
93,2014,3,TB,ATL,14,56,18,64.0,-12.065042,0.0,19.0,2.2934265,0.0,0,3.5555555555555554,-0.6702801111111111
94,2014,3,TEN,CIN,7,33,27,150.0,5.7031426,1.0,51.0,3.0079863,0.0,1,5.555555555555555,0.2112275037037037
95,2014,3,WAS,PHI,34,37,27,85.0,-1.6041733,1.0,6.0,0.9782213,0.0,0,3.1481481481481484,-0.05941382592592593
96,2014,4,ATL,MIN,28,41,22,123.0,4.552578,1.0,2.0,-0.5242911,0.0,1,5.590909090909091,0.2069353636363636
97,2014,4,BAL,CAR,38,10,30,127.0,-2.1508694,2.0,3.0,0.38283476,0.0,1,4.233333333333333,-0.07169564666666667
98,2014,4,BUF,HOU,17,23,23,96.0,-1.8169905,0.0,3.0,0.000734166,0.0,0,4.173913043478261,-0.07899958695652173
99,2014,4,CAR,BAL,10,38,26,67.0,-13.087623,0.0,7.0,0.0,0.0,0,2.576923076923077,-0.5033701153846154
100,2014,4,CHI,GB,17,38,41,235.0,6.352316,0.0,29.0,5.0275874,0.0,1,5.7317073170731705,0.15493453658536585
101,2014,4,DAL,NO,38,17,32,193.0,5.679905,2.0,23.0,-0.6681304,0.0,1,6.03125,0.17749703125
102,2014,4,DET,NYJ,24,17,24,91.0,-1.8682306,1.0,11.0,2.0748909,1.0,0,3.7916666666666665,-0.07784294166666667
103,2014,4,GB,CHI,38,17,18,56.0,1.7229321,1.0,8.0,0.98190343,0.0,0,3.111111111111111,0.09571845
104,2014,4,HOU,BUF,23,17,21,39.0,-6.6071725,0.0,16.0,1.2059706,0.0,0,1.8571428571428572,-0.3146272619047619
105,2014,4,IND,TEN,41,17,37,108.0,-6.1816354,1.0,0.0,0.0,0.0,1,2.918918918918919,-0.16707122702702704
106,2014,4,JAX,LAC,14,33,25,85.0,-8.540484,1.0,24.0,-1.2013781,0.0,0,3.4,-0.34161936
107,2014,4,KC,NE,41,14,36,209.0,-0.2970661,1.0,10.0,-1.2359674,0.0,1,5.805555555555555,-0.008251836111111112
108,2014,4,LAC,JAX,33,14,20,42.0,-6.621519,0.0,0.0,-1.9904928,0.0,0,2.1,-0.33107595
109,2014,4,LV,MIA,14,38,18,53.0,-13.40277,0.0,9.0,0.54758704,0.0,0,2.9444444444444446,-0.7445983333333334
110,2014,4,MIA,LV,38,14,35,157.0,-8.065668,2.0,35.0,2.802054,0.0,1,4.485714285714286,-0.23044765714285717
111,2014,4,MIN,ATL,41,28,44,241.0,7.271222,4.0,27.0,0.79623014,1.0,1,5.4772727272727275,0.16525504545454545
112,2014,4,NE,KC,14,41,16,75.0,-2.1308522,0.0,0.0,0.0,0.0,0,4.6875,-0.1331782625
113,2014,4,NO,DAL,17,38,13,104.0,2.8869352,0.0,6.0,1.3982694,0.0,0,8.0,0.22207193846153844
114,2014,4,NYG,WAS,45,14,38,154.0,1.455212,2.0,1.0,0.65025526,1.0,1,4.052631578947368,0.038295052631578945
115,2014,4,NYJ,DET,17,24,27,132.0,-1.179699,1.0,4.0,-3.9202368,0.0,1,4.888888888888889,-0.04369255555555556
116,2014,4,PHI,SF,21,26,12,22.0,-3.4959946,0.0,1.0,0.24143057,0.0,0,1.8333333333333333,-0.29133288333333335
117,2014,4,PIT,TB,24,27,27,85.0,-3.649466,0.0,4.0,0.61866105,0.0,0,3.1481481481481484,-0.1351654074074074
118,2014,4,SF,PHI,26,21,40,220.0,3.643117,0.0,60.0,6.463686,0.0,1,5.5,0.091077925
119,2014,4,TB,PIT,27,24,19,63.0,1.7649052,1.0,0.0,0.0,0.0,0,3.3157894736842106,0.09288974736842105
120,2014,4,TEN,IND,17,41,16,85.0,2.5856962,1.0,40.0,2.3724475,0.0,0,5.3125,0.1616060125
121,2014,4,WAS,NYG,14,45,17,86.0,0.09499586,1.0,12.0,1.3348426,0.0,0,5.0588235294117645,0.0055879917647058824
122,2014,5,ARI,DEN,20,41,19,37.0,-7.2153125,1.0,0.0,0.0,0.0,0,1.9473684210526316,-0.3797532894736842
123,2014,5,ATL,NYG,20,30,21,90.0,-2.9716089,1.0,0.0,0.0,0.0,0,4.285714285714286,-0.14150518571428572
124,2014,5,BAL,IND,13,20,15,90.0,0.5681602,1.0,0.0,0.0,0.0,0,6.0,0.037877346666666666
125,2014,5,BUF,DET,17,14,23,51.0,-9.611584,0.0,0.0,0.0,0.0,0,2.217391304347826,-0.41789495652173914
126,2014,5,CAR,CHI,31,24,24,93.0,-0.5428353,1.0,11.0,-0.6946063,0.0,0,3.875,-0.0226181375
127,2014,5,CHI,CAR,24,31,21,86.0,-6.4993534,1.0,23.0,4.4060173,1.0,0,4.095238095238095,-0.30949301904761906
128,2014,5,CIN,NE,17,43,18,79.0,-2.3088884,0.0,16.0,0.74561334,0.0,0,4.388888888888889,-0.12827157777777776
129,2014,5,CLE,TEN,29,28,36,176.0,5.8347464,0.0,2.0,0.56336707,0.0,1,4.888888888888889,0.1620762888888889
130,2014,5,DAL,HOU,20,17,33,140.0,-4.291301,0.0,0.0,0.0,0.0,1,4.242424242424242,-0.13003942424242423
131,2014,5,DEN,ARI,41,20,26,94.0,-1.2680042,1.0,0.0,0.0,0.0,0,3.6153846153846154,-0.04876939230769231
132,2014,5,DET,BUF,14,17,19,70.0,-1.8757482,0.0,9.0,1.7229519,0.0,0,3.6842105263157894,-0.09872358947368422
133,2014,5,GB,MIN,42,10,27,157.0,2.080804,2.0,0.0,0.0,0.0,1,5.814814814814815,0.07706681481481482
