,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,rushing_epa_allowed_standardized,rushing_epa_per_attempt_allowed,rushing_epa_per_attempt_allowed_standardized,rush_def_value
63,2014,2,PIT,BAL,6,26,34,159.0,0.9418375,0.0,0.37634771983587856,0.027701102941176472,0.39724722316047906,-0.37634771983587856
64,2014,2,SEA,LAC,21,30,37,101.0,-4.4835353,0.0,-0.6504812007285902,-0.12117662972972973,-0.3004338726801731,0.6504812007285902
65,2014,2,SF,CHI,20,28,15,48.0,-4.763488,0.0,-0.7034662285501084,-0.31756586666666664,-1.22076665569177,0.7034662285501084
66,2014,2,TB,LA,17,19,29,119.0,-6.0229993,1.0,-0.9418466452134115,-0.20768963103448276,-0.7058570643953916,0.9418466452134115
67,2014,2,TEN,DAL,10,26,43,220.0,-0.3121957,1.0,0.1390041114652231,-0.00726036511627907,0.23340838098492095,-0.1390041114652231
68,2014,2,WAS,JAX,41,10,10,25.0,-3.1424475,0.0,-0.3966612718831146,-0.31424474999999996,-1.205203009780151,0.3966612718831146
70,2014,3,ARI,SF,23,14,23,82.0,-1.6960677,1.0,-0.12291333537997663,-0.07374207391304348,-0.07814278663807932,0.12291333537997663
72,2014,3,ATL,TB,56,14,18,64.0,-12.065042,0.0,-2.085389109916561,-0.6702801111111111,-2.8736804673668264,2.085389109916561
74,2014,3,BAL,CLE,23,21,30,85.0,-4.749202,2.0,-0.7007623999838607,-0.15830673333333334,-0.4744355242777426,0.7007623999838607
75,2014,3,BUF,LAC,10,22,36,83.0,-5.0094876,0.0,-0.7500251495752759,-0.13915243333333333,-0.38467332294437867,0.7500251495752759
77,2014,3,CAR,PIT,19,37,32,266.0,13.761656,1.0,2.80268059638722,0.43005175,2.2827705671565184,-2.80268059638722
79,2014,3,CHI,NYJ,27,19,26,114.0,-0.26659524,0.0,0.14763464670126128,-0.010253663076923077,0.21938098169629777,-0.14763464670126128
80,2014,3,CIN,TEN,33,7,27,150.0,5.7031426,1.0,1.2774923888826026,0.2112275037037037,1.257301296409493,-1.2774923888826026
83,2014,3,CLE,BAL,21,23,32,161.0,1.169975,1.0,0.41952598453785006,0.03656171875,0.43877045189602176,-0.41952598453785006
84,2014,3,DAL,LA,34,31,29,122.0,-6.3243017,0.0,-0.9988724072321034,-0.21807936896551725,-0.7545461706517625,0.9988724072321034
85,2014,3,DEN,SEA,20,26,36,130.0,1.2739043,1.0,0.43919608185061376,0.03538623055555556,0.4332617980702638,-0.43919608185061376
86,2014,3,DET,GB,19,7,22,76.0,-11.741176,0.0,-2.0240928658708923,-0.5336898181818182,-2.2335816188522717,2.0240928658708923
87,2014,3,GB,DET,7,19,35,118.0,-2.5669446,1.0,-0.2877391676567062,-0.07334127428571428,-0.0762645317896818,0.2877391676567062
88,2014,3,HOU,NYG,17,30,41,194.0,-1.8259289,1.0,-0.14749141337292243,-0.0445348512195122,0.058730114162531946,0.14749141337292243
90,2014,3,IND,JAX,44,17,20,105.0,-0.8658556,0.0,0.03421610547292858,-0.043292779999999996,0.06455079395120766,-0.03421610547292858
92,2014,3,JAX,IND,17,44,28,145.0,-2.7727406,0.0,-0.3266889859137089,-0.09902645,-0.19663217319388568,0.3266889859137089
94,2014,3,KC,MIA,34,15,20,141.0,-1.320002,0.0,-0.05173755612434256,-0.06600009999999999,-0.04186181468398754,0.05173755612434256
95,2014,3,LA,DAL,31,34,27,125.0,-3.2102902,1.0,-0.4095014671982052,-0.11889963703703704,-0.28976327252688744,0.4095014671982052
96,2014,3,LAC,BUF,22,10,22,87.0,-3.3553154,0.0,-0.43694954773760064,-0.15251433636363634,-0.4472907942173014,0.43694954773760064
97,2014,3,LV,NE,9,16,29,83.0,-4.682076,0.0,-0.6880578503311972,-0.16145089655172415,-0.4891699187392553,0.6880578503311972
98,2014,3,MIA,KC,15,34,41,174.0,-0.5815978,2.0,0.0880159346636582,-0.014185312195121952,0.20095621651459392,-0.0880159346636582
99,2014,3,MIN,NO,9,20,30,110.0,-7.4160786,1.0,-1.205506704459424,-0.24720261999999998,-0.8910255576739631,1.205506704459424
101,2014,3,NE,LV,16,9,22,67.0,-5.671562,0.0,-0.8753321407345503,-0.25779827272727274,-0.940679636046123,0.8753321407345503
102,2014,3,NO,MIN,20,9,20,62.0,-1.6793597,0.0,-0.1197511088865657,-0.083967985,-0.12606415624200473,0.1197511088865657
103,2014,3,NYG,HOU,30,17,25,119.0,-3.3719087,1.0,-0.44009006562562536,-0.134876348,-0.36463443702271564,0.44009006562562536
104,2014,3,NYJ,CHI,19,27,18,63.0,-1.5932922,0.0,-0.1034616111177336,-0.08851623333333333,-0.1473784711796847,0.1034616111177336
105,2014,3,PHI,WAS,37,34,27,85.0,-1.6041733,1.0,-0.1055210139605307,-0.05941382592592593,-0.010996762999835642,0.1055210139605307
106,2014,3,PIT,CAR,37,19,10,42.0,-1.1848681,0.0,-0.026161544708377435,-0.11848681000000001,-0.287828654001837,0.026161544708377435
107,2014,3,SEA,DEN,26,20,19,37.0,-13.378544,0.0,-2.333988033997736,-0.7041338947368421,-3.0323284023844987,2.333988033997736
109,2014,3,SF,ARI,14,23,24,90.0,-0.15191317,0.0,0.16933985858019407,-0.006329715416666666,0.23776965577478237,-0.16933985858019407
110,2014,3,TB,ATL,14,56,36,144.0,-12.540653,3.0,-2.1754052521692353,-0.34835147222222224,-1.3650362830886107,2.1754052521692353
112,2014,3,TEN,CIN,7,33,30,117.0,3.592825,3.0,0.8780847862831649,0.11976083333333333,0.8286638791675365,-0.8780847862831649
113,2014,3,WAS,PHI,34,37,23,56.0,-11.139548,0.0,-1.9102262151180889,-0.48432817391304345,-2.002259678034824,1.9102262151180889
114,2014,4,ATL,MIN,28,41,44,241.0,7.271222,4.0,1.5742737045668227,0.16525504545454545,1.041861992798784,-1.5742737045668227
115,2014,4,BAL,CAR,38,10,26,67.0,-13.087623,0.0,-2.278927099493929,-0.5033701153846154,-2.0914953370852394,2.278927099493929
116,2014,4,BUF,HOU,17,23,21,39.0,-6.6071725,0.0,-1.0524097269575252,-0.3146272619047619,-1.2069955634421303,1.0524097269575252
