,season,week,team,opponent,qb
4492,2021,1,KC,CLE,P. Mahomes
4493,2021,1,LA,CHI,M. Stafford
4494,2021,1,LAC,WAS,J. Herbert
4495,2021,1,LV,BAL,D. Carr
4496,2021,1,MIA,NE,T. Tagovailoa
4498,2021,1,MIN,CIN,K. Cousins
4499,2021,1,NE,MIA,M. Jones
4500,2021,1,NO,GB,J. Winston
4502,2021,1,NYG,DEN,D. Jones
4503,2021,1,NYJ,CAR,Z. Wilson
4504,2021,1,PHI,ATL,J. Hurts
4505,2021,1,PIT,BUF,B. Roethlisberger
4506,2021,1,SEA,IND,R. Wilson
4507,2021,1,SF,DET,J. Garoppolo
4509,2021,1,TB,DAL,T. Brady
4511,2021,1,TEN,ARI,R. Tannehill
4513,2021,1,WAS,LAC,T. Heinicke
4514,2021,2,ARI,MIN,K. Murray
4516,2021,2,ATL,TB,M. Ryan
4517,2021,2,BAL,KC,L. Jackson
4518,2021,2,BUF,MIA,J. Allen
4519,2021,2,CAR,NO,S. Darnold
4521,2021,2,CHI,CIN,J. Fields
4522,2021,2,CIN,CHI,J. Burrow
4523,2021,2,CLE,HOU,B. Mayfield
4524,2021,2,DAL,LAC,D. Prescott
4525,2021,2,DEN,JAX,T. Bridgewater
4526,2021,2,DET,GB,J. Goff
4527,2021,2,GB,DET,A. Rodgers
4528,2021,2,HOU,CLE,D. Mills
4530,2021,2,IND,LA,C. Wentz
4532,2021,2,JAX,DEN,T. Lawrence
4533,2021,2,KC,BAL,P. Mahomes
4534,2021,2,LA,IND,M. Stafford
4535,2021,2,LAC,DAL,J. Herbert
4536,2021,2,LV,PIT,D. Carr
4537,2021,2,MIA,BUF,J. Brissett
4539,2021,2,MIN,ARI,K. Cousins
4540,2021,2,NE,NYJ,M. Jones
4541,2021,2,NO,CAR,J. Winston
4542,2021,2,NYG,WAS,D. Jones
4543,2021,2,NYJ,NE,Z. Wilson
4545,2021,2,PHI,SF,J. Hurts
4546,2021,2,PIT,LV,B. Roethlisberger
4547,2021,2,SEA,TEN,R. Wilson
4548,2021,2,SF,PHI,J. Garoppolo
4549,2021,2,TB,ATL,T. Brady
4550,2021,2,TEN,SEA,R. Tannehill
4551,2021,2,WAS,NYG,T. Heinicke
4552,2021,3,ARI,JAX,K. Murray
4553,2021,3,ATL,NYG,M. Ryan
4554,2021,3,BAL,DET,L. Jackson
4555,2021,3,BUF,WAS,J. Allen
4557,2021,3,CAR,HOU,S. Darnold
4558,2021,3,CHI,CLE,J. Fields
4559,2021,3,CIN,PIT,J. Burrow
4560,2021,3,CLE,CHI,B. Mayfield
4561,2021,3,DAL,PHI,D. Prescott
4562,2021,3,DEN,NYJ,T. Bridgewater
4564,2021,3,DET,BAL,J. Goff
4565,2021,3,GB,SF,A. Rodgers
4566,2021,3,HOU,CAR,D. Mills
4567,2021,3,IND,TEN,C. Wentz
4568,2021,3,JAX,ARI,T. Lawrence
4569,2021,3,KC,LAC,P. Mahomes
4570,2021,3,LA,TB,M. Stafford
4571,2021,3,LAC,KC,J. Herbert
4572,2021,3,LV,MIA,D. Carr
4573,2021,3,MIA,LV,J. Brissett
4574,2021,3,MIN,SEA,K. Cousins
4575,2021,3,NE,NO,M. Jones
4576,2021,3,NO,NE,J. Winston
4577,2021,3,NYG,ATL,D. Jones
4578,2021,3,NYJ,DEN,Z. Wilson
4579,2021,3,PHI,DAL,J. Hurts
4580,2021,3,PIT,CIN,B. Roethlisberger
4581,2021,3,SEA,MIN,R. Wilson
4582,2021,3,SF,GB,J. Garoppolo
4583,2021,3,TB,LA,T. Brady
4584,2021,3,TEN,IND,R. Tannehill
4585,2021,3,WAS,BUF,T. Heinicke
4586,2021,4,ARI,LA,K. Murray
4587,2021,4,ATL,WAS,M. Ryan
4588,2021,4,BAL,DEN,L. Jackson
4589,2021,4,BUF,HOU,J. Allen
4591,2021,4,CAR,DAL,S. Darnold
4592,2021,4,CHI,DET,J. Fields
4593,2021,4,CIN,JAX,J. Burrow
4594,2021,4,CLE,MIN,B. Mayfield
4595,2021,4,DAL,CAR,D. Prescott
4596,2021,4,DEN,BAL,D. Lock
4598,2021,4,DET,CHI,J. Goff
4599,2021,4,GB,PIT,A. Rodgers
4600,2021,4,HOU,BUF,D. Mills
4601,2021,4,IND,MIA,C. Wentz
4602,2021,4,JAX,CIN,T. Lawrence
4603,2021,4,KC,PHI,P. Mahomes
4604,2021,4,LA,ARI,M. Stafford
4605,2021,4,LAC,LV,J. Herbert
4607,2021,4,LV,LAC,D. Carr
4608,2021,4,MIA,IND,J. Brissett
4609,2021,4,MIN,CLE,K. Cousins
4611,2021,4,NE,TB,M. Jones
4612,2021,4,NO,NYG,J. Winston
4614,2021,4,NYG,NO,D. Jones
4615,2021,4,NYJ,TEN,Z. Wilson
4616,2021,4,PHI,KC,J. Hurts
4617,2021,4,PIT,GB,B. Roethlisberger
4618,2021,4,SEA,SF,R. Wilson
4619,2021,4,SF,SEA,J. Garoppolo
4621,2021,4,TB,NE,T. Brady
4622,2021,4,TEN,NYJ,R. Tannehill
4623,2021,4,WAS,ATL,T. Heinicke
4624,2021,5,ARI,SF,K. Murray
4626,2021,5,ATL,NYJ,M. Ryan
4627,2021,5,BAL,IND,L. Jackson
4628,2021,5,BUF,KC,J. Allen
4629,2021,5,CAR,PHI,S. Darnold
4631,2021,5,CHI,LV,J. Fields
4632,2021,5,CIN,GB,J. Burrow
4633,2021,5,CLE,LAC,B. Mayfield
4635,2021,5,DAL,NYG,D. Prescott
4636,2021,5,DEN,PIT,T. Bridgewater
4637,2021,5,DET,MIN,J. Goff
4638,2021,5,GB,CIN,A. Rodgers
4639,2021,5,HOU,NE,D. Mills
4640,2021,5,IND,BAL,C. Wentz
4641,2021,5,JAX,TEN,T. Lawrence
4642,2021,5,KC,BUF,P. Mahomes
4643,2021,5,LA,SEA,M. Stafford
4644,2021,5,LAC,CLE,J. Herbert
4645,2021,5,LV,CHI,D. Carr
4646,2021,5,MIA,TB,J. Brissett
4647,2021,5,MIN,DET,K. Cousins
4648,2021,5,NE,HOU,M. Jones
4649,2021,5,NO,WAS,J. Winston
4652,2021,5,NYG,DAL,M. Glennon
4653,2021,5,NYJ,ATL,Z. Wilson
4654,2021,5,PHI,CAR,J. Hurts
4655,2021,5,PIT,DEN,B. Roethlisberger
4656,2021,5,SEA,LA,G. Smith
4658,2021,5,SF,ARI,T. Lance
4660,2021,5,TB,MIA,T. Brady
4661,2021,5,TEN,JAX,R. Tannehill
4662,2021,5,WAS,NO,T. Heinicke
4663,2021,6,ARI,CLE,K. Murray
4664,2021,6,BAL,LAC,L. Jackson
4666,2021,6,BUF,TEN,J. Allen
4667,2021,6,CAR,MIN,S. Darnold
4668,2021,6,CHI,GB,J. Fields
4670,2021,6,CIN,DET,J. Burrow
4671,2021,6,CLE,ARI,B. Mayfield
4673,2021,6,DAL,NE,D. Prescott
4674,2021,6,DEN,LV,T. Bridgewater
4675,2021,6,DET,CIN,J. Goff
4676,2021,6,GB,CHI,A. Rodgers
4677,2021,6,HOU,IND,D. Mills
4678,2021,6,IND,HOU,C. Wentz
4679,2021,6,JAX,MIA,T. Lawrence
4680,2021,6,KC,WAS,P. Mahomes
4682,2021,6,LA,NYG,M. Stafford
4683,2021,6,LAC,BAL,J. Herbert
4684,2021,6,LV,DEN,D. Carr
4686,2021,6,MIA,JAX,T. Tagovailoa
4687,2021,6,MIN,CAR,K. Cousins
4688,2021,6,NE,DAL,M. Jones
4689,2021,6,NYG,LA,D. Jones
4690,2021,6,PHI,TB,J. Hurts
4691,2021,6,PIT,SEA,B. Roethlisberger
4692,2021,6,SEA,PIT,G. Smith
4693,2021,6,TB,PHI,T. Brady
4694,2021,6,TEN,BUF,R. Tannehill
4695,2021,6,WAS,KC,T. Heinicke
4696,2021,7,ARI,HOU,K. Murray
4697,2021,7,ATL,MIA,M. Ryan
4698,2021,7,BAL,CIN,L. Jackson
4701,2021,7,CAR,NYG,S. Darnold
4702,2021,7,CHI,TB,J. Fields
4703,2021,7,CIN,BAL,J. Burrow
4704,2021,7,CLE,DEN,C. Keenum
4705,2021,7,DEN,CLE,T. Bridgewater
4707,2021,7,DET,LA,J. Goff
4708,2021,7,GB,WAS,A. Rodgers
4709,2021,7,HOU,ARI,D. Mills
4710,2021,7,IND,SF,C. Wentz
4712,2021,7,KC,TEN,P. Mahomes
4713,2021,7,LA,DET,M. Stafford
4714,2021,7,LV,PHI,D. Carr
4715,2021,7,MIA,ATL,T. Tagovailoa
4718,2021,7,NE,NYJ,M. Jones
4719,2021,7,NO,SEA,J. Winston
4720,2021,7,NYG,CAR,D. Jones
4722,2021,7,NYJ,NE,M. White
4724,2021,7,PHI,LV,J. Hurts
4725,2021,7,SEA,NO,G. Smith
4726,2021,7,SF,IND,J. Garoppolo
4728,2021,7,TB,CHI,T. Brady
4730,2021,7,TEN,KC,R. Tannehill
4731,2021,7,WAS,GB,T. Heinicke
4732,2021,8,ARI,GB,K. Murray
4733,2021,8,ATL,CAR,M. Ryan
4735,2021,8,BUF,MIA,J. Allen
4737,2021,8,CAR,ATL,S. Darnold
4738,2021,8,CHI,SF,J. Fields
4739,2021,8,CIN,NYJ,J. Burrow
4741,2021,8,CLE,PIT,B. Mayfield
4742,2021,8,DAL,MIN,C. Rush
4744,2021,8,DEN,WAS,T. Bridgewater
4745,2021,8,DET,PHI,J. Goff
4746,2021,8,GB,ARI,A. Rodgers
4747,2021,8,HOU,LA,D. Mills
4749,2021,8,IND,TEN,C. Wentz
4750,2021,8,JAX,SEA,T. Lawrence
4751,2021,8,KC,NYG,P. Mahomes
4753,2021,8,LA,HOU,M. Stafford
4754,2021,8,LAC,NE,J. Herbert
4755,2021,8,MIA,BUF,T. Tagovailoa
4757,2021,8,MIN,DAL,K. Cousins
4758,2021,8,NE,LAC,M. Jones
4760,2021,8,NO,TB,T. Siemian
4761,2021,8,NYG,KC,D. Jones
4765,2021,8,NYJ,CIN,M. White
4767,2021,8,PHI,DET,J. Hurts
4768,2021,8,PIT,CLE,B. Roethlisberger
4770,2021,8,SEA,JAX,G. Smith
4771,2021,8,SF,CHI,J. Garoppolo
4773,2021,8,TB,NO,T. Brady
4775,2021,8,TEN,IND,R. Tannehill
4776,2021,8,WAS,DEN,T. Heinicke
4778,2021,9,ARI,SF,C. McCoy
4779,2021,9,ATL,NO,M. Ryan
4780,2021,9,BAL,MIN,L. Jackson
4781,2021,9,BUF,JAX,J. Allen
4782,2021,9,CAR,NE,S. Darnold
4783,2021,9,CHI,PIT,J. Fields
4785,2021,9,CIN,CLE,J. Burrow
4786,2021,9,CLE,CIN,B. Mayfield
4787,2021,9,DAL,DEN,D. Prescott
4788,2021,9,DEN,DAL,T. Bridgewater
4789,2021,9,GB,KC,J. Love
4791,2021,9,HOU,MIA,T. Taylor
4792,2021,9,IND,NYJ,C. Wentz
4794,2021,9,JAX,BUF,T. Lawrence
4795,2021,9,KC,GB,P. Mahomes
4796,2021,9,LA,TEN,M. Stafford
4797,2021,9,LAC,PHI,J. Herbert
4798,2021,9,LV,NYG,D. Carr
4799,2021,9,MIA,HOU,J. Brissett
4800,2021,9,MIN,BAL,K. Cousins
4801,2021,9,NE,CAR,M. Jones
4803,2021,9,NO,ATL,T. Siemian
4804,2021,9,NYG,LV,D. Jones
4805,2021,9,NYJ,IND,J. Johnson
4807,2021,9,PHI,LAC,J. Hurts
4808,2021,9,PIT,CHI,B. Roethlisberger
4809,2021,9,SF,ARI,J. Garoppolo
4810,2021,9,TEN,LA,R. Tannehill
4811,2021,10,ARI,CAR,C. McCoy
4814,2021,10,ATL,DAL,M. Ryan
4815,2021,10,BAL,MIA,L. Jackson
4816,2021,10,BUF,NYJ,J. Allen
4818,2021,10,CAR,ARI,P. Walker
4819,2021,10,CLE,NE,B. Mayfield
4822,2021,10,DAL,ATL,D. Prescott
4824,2021,10,DEN,PHI,T. Bridgewater
4825,2021,10,DET,PIT,J. Goff
4826,2021,10,GB,SEA,A. Rodgers
4827,2021,10,IND,JAX,C. Wentz
4828,2021,10,JAX,IND,T. Lawrence
4829,2021,10,KC,LV,P. Mahomes
4832,2021,10,LA,SF,M. Stafford
4833,2021,10,LAC,MIN,J. Herbert
4834,2021,10,LV,KC,D. Carr
4835,2021,10,MIA,BAL,J. Brissett
4837,2021,10,MIN,LAC,K. Cousins
4839,2021,10,NE,CLE,M. Jones
4841,2021,10,NO,TEN,T. Siemian
4843,2021,10,NYJ,BUF,M. White
4844,2021,10,PHI,DEN,J. Hurts
4845,2021,10,PIT,DET,M. Rudolph
4846,2021,10,SEA,GB,R. Wilson
4847,2021,10,SF,LA,J. Garoppolo
4848,2021,10,TB,WAS,T. Brady
4849,2021,10,TEN,NO,R. Tannehill
4850,2021,10,WAS,TB,T. Heinicke
4851,2021,11,ARI,SEA,C. McCoy
4854,2021,11,ATL,NE,M. Ryan
4855,2021,11,BAL,CHI,T. Huntley
4856,2021,11,BUF,IND,J. Allen
4858,2021,11,CAR,WAS,C. Newton
4859,2021,11,CHI,BAL,A. Dalton
4861,2021,11,CIN,LV,J. Burrow
4862,2021,11,CLE,DET,B. Mayfield
4863,2021,11,DAL,KC,D. Prescott
4864,2021,11,DET,CLE,T. Boyle
4865,2021,11,GB,MIN,A. Rodgers
4866,2021,11,HOU,TEN,T. Taylor
4867,2021,11,IND,BUF,C. Wentz
4868,2021,11,JAX,SF,T. Lawrence
4869,2021,11,KC,DAL,P. Mahomes
4870,2021,11,LAC,PIT,J. Herbert
4871,2021,11,LV,CIN,D. Carr
4873,2021,11,MIA,NYJ,T. Tagovailoa
4874,2021,11,MIN,GB,K. Cousins
4875,2021,11,NE,ATL,M. Jones
4876,2021,11,NO,PHI,T. Siemian
4877,2021,11,NYG,TB,D. Jones
4879,2021,11,NYJ,MIA,J. Flacco
4880,2021,11,PHI,NO,J. Hurts
4881,2021,11,PIT,LAC,B. Roethlisberger
4882,2021,11,SEA,ARI,R. Wilson
4883,2021,11,SF,JAX,J. Garoppolo
4885,2021,11,TB,NYG,T. Brady
4886,2021,11,TEN,HOU,R. Tannehill
4887,2021,11,WAS,CAR,T. Heinicke
4888,2021,12,ATL,JAX,M. Ryan
4889,2021,12,BAL,CLE,L. Jackson
4890,2021,12,BUF,NO,J. Allen
4891,2021,12,CAR,MIA,C. Newton
4893,2021,12,CHI,DET,A. Dalton
4895,2021,12,CIN,PIT,J. Burrow
4896,2021,12,CLE,BAL,B. Mayfield
4897,2021,12,DAL,LV,D. Prescott
4899,2021,12,DEN,LAC,T. Bridgewater
4900,2021,12,DET,CHI,J. Goff
4901,2021,12,GB,LA,A. Rodgers
4902,2021,12,HOU,NYJ,T. Taylor
4903,2021,12,IND,TB,C. Wentz
4904,2021,12,JAX,ATL,T. Lawrence
4906,2021,12,LA,GB,M. Stafford
4907,2021,12,LAC,DEN,J. Herbert
4908,2021,12,LV,DAL,D. Carr
4909,2021,12,MIA,CAR,T. Tagovailoa
4911,2021,12,MIN,SF,K. Cousins
4912,2021,12,NE,TEN,M. Jones
4914,2021,12,NO,BUF,T. Siemian
4915,2021,12,NYG,PHI,D. Jones
4916,2021,12,NYJ,HOU,Z. Wilson
4917,2021,12,PHI,NYG,J. Hurts
4918,2021,12,PIT,CIN,B. Roethlisberger
4919,2021,12,SEA,WAS,R. Wilson
4920,2021,12,SF,MIN,J. Garoppolo
4921,2021,12,TB,IND,T. Brady
4922,2021,12,TEN,NE,R. Tannehill
4923,2021,12,WAS,SEA,T. Heinicke
4925,2021,13,ARI,CHI,K. Murray
4926,2021,13,ATL,TB,M. Ryan
4927,2021,13,BAL,PIT,L. Jackson
4928,2021,13,BUF,NE,J. Allen
4929,2021,13,CHI,ARI,A. Dalton
4930,2021,13,CIN,LAC,J. Burrow
4931,2021,13,DAL,NO,D. Prescott
4932,2021,13,DEN,KC,T. Bridgewater
4933,2021,13,DET,MIN,J. Goff
4934,2021,13,HOU,IND,D. Mills
4936,2021,13,IND,HOU,C. Wentz
4937,2021,13,JAX,LA,T. Lawrence
4938,2021,13,KC,DEN,P. Mahomes
4939,2021,13,LA,JAX,M. Stafford
4940,2021,13,LAC,CIN,J. Herbert
4942,2021,13,LV,WAS,D. Carr
4943,2021,13,MIA,NYG,T. Tagovailoa
4945,2021,13,MIN,DET,K. Cousins
4946,2021,13,NE,BUF,M. Jones
4947,2021,13,NO,DAL,T. Hill
4948,2021,13,NYG,MIA,M. Glennon
4949,2021,13,NYJ,PHI,Z. Wilson
4950,2021,13,PHI,NYJ,G. Minshew
4951,2021,13,PIT,BAL,B. Roethlisberger
4952,2021,13,SEA,SF,R. Wilson
4953,2021,13,SF,SEA,J. Garoppolo
4954,2021,13,TB,ATL,T. Brady
4955,2021,13,WAS,LV,T. Heinicke
4956,2021,14,ARI,LA,K. Murray
4957,2021,14,ATL,CAR,M. Ryan
4959,2021,14,BAL,CLE,T. Huntley
4960,2021,14,BUF,TB,J. Allen
4961,2021,14,CAR,ATL,C. Newton
4963,2021,14,CHI,GB,J. Fields
4964,2021,14,CIN,SF,J. Burrow
4965,2021,14,CLE,BAL,B. Mayfield
4966,2021,14,DAL,WAS,D. Prescott
4967,2021,14,DEN,DET,T. Bridgewater
4968,2021,14,DET,DEN,J. Goff
4969,2021,14,GB,CHI,A. Rodgers
4970,2021,14,HOU,SEA,D. Mills
4971,2021,14,JAX,TEN,T. Lawrence
4972,2021,14,KC,LV,P. Mahomes
4973,2021,14,LA,ARI,M. Stafford
4974,2021,14,LAC,NYG,J. Herbert
4975,2021,14,LV,KC,D. Carr
4976,2021,14,MIN,PIT,K. Cousins
4977,2021,14,NO,NYJ,T. Hill
4978,2021,14,NYG,LAC,M. Glennon
4980,2021,14,NYJ,NO,Z. Wilson
4981,2021,14,PIT,MIN,B. Roethlisberger
4982,2021,14,SEA,HOU,R. Wilson
4983,2021,14,SF,CIN,J. Garoppolo
4984,2021,14,TB,BUF,T. Brady
4985,2021,14,TEN,JAX,R. Tannehill
4987,2021,14,WAS,DAL,T. Heinicke
4989,2021,15,ARI,DET,K. Murray
4990,2021,15,ATL,SF,M. Ryan
4991,2021,15,BAL,GB,T. Huntley
4992,2021,15,BUF,CAR,J. Allen
4993,2021,15,CAR,BUF,C. Newton
4994,2021,15,CHI,MIN,J. Fields
4995,2021,15,CIN,DEN,J. Burrow
4996,2021,15,CLE,LV,N. Mullens
4997,2021,15,DAL,NYG,D. Prescott
4999,2021,15,DEN,CIN,T. Bridgewater
5000,2021,15,DET,ARI,J. Goff
5001,2021,15,GB,BAL,A. Rodgers
5002,2021,15,HOU,JAX,D. Mills
5003,2021,15,IND,NE,C. Wentz
5004,2021,15,JAX,HOU,T. Lawrence
5005,2021,15,KC,LAC,P. Mahomes
5006,2021,15,LA,SEA,M. Stafford
5007,2021,15,LAC,KC,J. Herbert
5009,2021,15,LV,CLE,D. Carr
5010,2021,15,MIA,NYJ,T. Tagovailoa
5011,2021,15,MIN,CHI,K. Cousins
5012,2021,15,NE,IND,M. Jones
5013,2021,15,NO,TB,T. Hill
5015,2021,15,NYG,DAL,M. Glennon
5017,2021,15,NYJ,MIA,Z. Wilson
5018,2021,15,PHI,WAS,J. Hurts
5019,2021,15,PIT,TEN,B. Roethlisberger
5020,2021,15,SEA,LA,R. Wilson
5022,2021,15,SF,ATL,J. Garoppolo
5023,2021,15,TB,NO,T. Brady
5024,2021,15,TEN,PIT,R. Tannehill
5025,2021,15,WAS,PHI,G. Gilbert
5026,2021,16,ARI,IND,K. Murray
5027,2021,16,ATL,DET,M. Ryan
5028,2021,16,BAL,CIN,J. Johnson
5029,2021,16,BUF,NE,J. Allen
5031,2021,16,CAR,TB,S. Darnold
5032,2021,16,CHI,SEA,N. Foles
5033,2021,16,CIN,BAL,J. Burrow
5034,2021,16,CLE,GB,B. Mayfield
5036,2021,16,DAL,WAS,D. Prescott
5037,2021,16,DEN,LV,D. Lock
5039,2021,16,DET,ATL,T. Boyle
5040,2021,16,GB,CLE,A. Rodgers
5041,2021,16,HOU,LAC,D. Mills
5042,2021,16,IND,ARI,C. Wentz
5043,2021,16,JAX,NYJ,T. Lawrence
5044,2021,16,KC,PIT,P. Mahomes
5045,2021,16,LA,MIN,M. Stafford
5046,2021,16,LAC,HOU,J. Herbert
5047,2021,16,LV,DEN,D. Carr
5048,2021,16,MIA,NO,T. Tagovailoa
5049,2021,16,MIN,LA,K. Cousins
5050,2021,16,NE,BUF,M. Jones
5051,2021,16,NO,MIA,I. Book
5053,2021,16,NYG,PHI,M. Glennon
5054,2021,16,NYJ,JAX,Z. Wilson
5055,2021,16,PHI,NYG,J. Hurts
5056,2021,16,PIT,KC,B. Roethlisberger
5058,2021,16,SEA,CHI,R. Wilson
5059,2021,16,SF,TEN,J. Garoppolo
5061,2021,16,TB,CAR,T. Brady
5063,2021,16,TEN,SF,R. Tannehill
5065,2021,16,WAS,DAL,T. Heinicke
5067,2021,17,ARI,DAL,K. Murray
5068,2021,17,ATL,BUF,M. Ryan
5069,2021,17,BAL,LA,T. Huntley
5070,2021,17,BUF,ATL,J. Allen
5071,2021,17,CAR,NO,S. Darnold
5072,2021,17,CHI,NYG,A. Dalton
5074,2021,17,CIN,KC,J. Burrow
5075,2021,17,CLE,PIT,B. Mayfield
5077,2021,17,DAL,ARI,D. Prescott
5079,2021,17,DEN,LAC,D. Lock
5081,2021,17,DET,SEA,T. Boyle
5082,2021,17,GB,MIN,A. Rodgers
5084,2021,17,HOU,SF,D. Mills
5085,2021,17,IND,LV,C. Wentz
5086,2021,17,JAX,NE,T. Lawrence
5087,2021,17,KC,CIN,P. Mahomes
5088,2021,17,LA,BAL,M. Stafford
5089,2021,17,LAC,DEN,J. Herbert
5090,2021,17,LV,IND,D. Carr
5093,2021,17,MIA,TEN,T. Tagovailoa
5095,2021,17,MIN,GB,S. Mannion
5097,2021,17,NE,JAX,M. Jones
5098,2021,17,NO,CAR,T. Hill
5099,2021,17,NYG,CHI,M. Glennon
5100,2021,17,NYJ,TB,Z. Wilson
5101,2021,17,PHI,WAS,J. Hurts
5102,2021,17,PIT,CLE,B. Roethlisberger
5103,2021,17,SEA,DET,R. Wilson
5104,2021,17,SF,HOU,T. Lance
5105,2021,17,TB,NYJ,T. Brady
5106,2021,17,TEN,MIA,R. Tannehill
5107,2021,17,WAS,PHI,T. Heinicke
5108,2021,18,ARI,SEA,K. Murray
5109,2021,18,ATL,NO,M. Ryan
5111,2021,18,BAL,PIT,T. Huntley
5112,2021,18,BUF,NYJ,J. Allen
5115,2021,18,CAR,TB,S. Darnold
5116,2021,18,CHI,MIN,A. Dalton
5117,2021,18,CIN,CLE,B. Allen
5118,2021,18,CLE,CIN,C. Keenum
5120,2021,18,DAL,PHI,D. Prescott
5122,2021,18,DEN,KC,D. Lock
5124,2021,18,DET,GB,J. Goff
5126,2021,18,GB,DET,A. Rodgers
5128,2021,18,HOU,TEN,D. Mills
5129,2021,18,IND,JAX,C. Wentz
5130,2021,18,JAX,IND,T. Lawrence
5131,2021,18,KC,DEN,P. Mahomes
5132,2021,18,LA,SF,M. Stafford
5133,2021,18,LAC,LV,J. Herbert
5134,2021,18,LV,LAC,D. Carr
5136,2021,18,MIA,NE,T. Tagovailoa
5137,2021,18,MIN,CHI,K. Cousins
5138,2021,18,NE,MIA,M. Jones
5140,2021,18,NO,ATL,T. Siemian
5141,2021,18,NYG,WAS,J. Fromm
5142,2021,18,NYJ,BUF,Z. Wilson
5143,2021,18,PHI,DAL,G. Minshew
5145,2021,18,PIT,BAL,B. Roethlisberger
5146,2021,18,SEA,ARI,R. Wilson
5148,2021,18,SF,LA,J. Garoppolo
5150,2021,18,TB,CAR,T. Brady
5151,2021,18,TEN,HOU,R. Tannehill
5152,2021,18,WAS,NYG,T. Heinicke
5153,2021,19,ARI,LA,K. Murray
5154,2021,19,BUF,NE,J. Allen
5155,2021,19,CIN,LV,J. Burrow
5157,2021,19,DAL,SF,D. Prescott
5158,2021,19,KC,PIT,P. Mahomes
5160,2021,19,LA,ARI,M. Stafford
5162,2021,19,LV,CIN,D. Carr
5163,2021,19,NE,BUF,M. Jones
5164,2021,19,PHI,TB,J. Hurts
5165,2021,19,PIT,KC,B. Roethlisberger
5166,2021,19,SF,DAL,J. Garoppolo
5167,2021,19,TB,PHI,T. Brady
5168,2021,20,BUF,KC,J. Allen
5169,2021,20,CIN,TEN,J. Burrow
5170,2021,20,GB,SF,A. Rodgers
5171,2021,20,KC,BUF,P. Mahomes
5172,2021,20,LA,TB,M. Stafford
5173,2021,20,SF,GB,J. Garoppolo
5174,2021,20,TB,LA,T. Brady
5175,2021,20,TEN,CIN,R. Tannehill
5176,2021,21,CIN,KC,J. Burrow
5177,2021,21,KC,CIN,P. Mahomes
5178,2021,21,LA,SF,M. Stafford
5179,2021,21,SF,LA,J. Garoppolo
5180,2021,22,CIN,LA,J. Burrow
5184,2021,22,LA,CIN,M. Stafford
5185,2022,1,ARI,KC,K. Murray
5187,2022,1,ATL,NO,M. Mariota
5188,2022,1,BAL,NYJ,L. Jackson
5189,2022,1,BUF,LA,J. Allen
5190,2022,1,CAR,CLE,B. Mayfield
5191,2022,1,CHI,SF,J. Fields
5192,2022,1,CIN,PIT,J. Burrow
5193,2022,1,CLE,CAR,J. Brissett
5195,2022,1,DAL,TB,D. Prescott
5196,2022,1,DEN,SEA,R. Wilson
5197,2022,1,DET,PHI,J. Goff
5198,2022,1,GB,MIN,A. Rodgers
5200,2022,1,HOU,IND,D. Mills
5201,2022,1,IND,HOU,M. Ryan
5202,2022,1,JAX,WAS,T. Lawrence
5203,2022,1,KC,ARI,P. Mahomes
5204,2022,1,LA,BUF,M. Stafford
5205,2022,1,LAC,LV,J. Herbert
5206,2022,1,LV,LAC,D. Carr
5207,2022,1,MIA,NE,T. Tagovailoa
5208,2022,1,MIN,GB,K. Cousins
5209,2022,1,NE,MIA,M. Jones
5210,2022,1,NO,ATL,J. Winston
5211,2022,1,NYG,TEN,D. Jones
5212,2022,1,NYJ,BAL,J. Flacco
5213,2022,1,PHI,DET,J. Hurts
5214,2022,1,PIT,CIN,M. Trubisky
5215,2022,1,SEA,DEN,G. Smith
5216,2022,1,SF,CHI,T. Lance
5217,2022,1,TB,DAL,T. Brady
5218,2022,1,TEN,NYG,R. Tannehill
5219,2022,1,WAS,JAX,C. Wentz
5220,2022,2,ARI,LV,K. Murray
5221,2022,2,ATL,LA,M. Mariota
5222,2022,2,BAL,MIA,L. Jackson
5224,2022,2,BUF,TEN,J. Allen
5225,2022,2,CAR,NYG,B. Mayfield
5226,2022,2,CHI,GB,J. Fields
5227,2022,2,CIN,DAL,J. Burrow
5228,2022,2,CLE,NYJ,J. Brissett
5229,2022,2,DAL,CIN,C. Rush
5230,2022,2,DEN,HOU,R. Wilson
5231,2022,2,DET,WAS,J. Goff
5232,2022,2,GB,CHI,A. Rodgers
5233,2022,2,HOU,DEN,D. Mills
5234,2022,2,IND,JAX,M. Ryan
5235,2022,2,JAX,IND,T. Lawrence
5236,2022,2,KC,LAC,P. Mahomes
5237,2022,2,LA,ATL,M. Stafford
5238,2022,2,LAC,KC,J. Herbert
5239,2022,2,LV,ARI,D. Carr
5240,2022,2,MIA,BAL,T. Tagovailoa
5241,2022,2,MIN,PHI,K. Cousins
5242,2022,2,NE,PIT,M. Jones
5243,2022,2,NO,TB,J. Winston
5244,2022,2,NYG,CAR,D. Jones
5246,2022,2,NYJ,CLE,J. Flacco
5247,2022,2,PHI,MIN,J. Hurts
5248,2022,2,PIT,NE,M. Trubisky
5250,2022,2,SEA,SF,G. Smith
5251,2022,2,SF,SEA,J. Garoppolo
5253,2022,2,TB,NO,T. Brady
5255,2022,2,TEN,BUF,R. Tannehill
5256,2022,2,WAS,DET,C. Wentz
5257,2022,3,ARI,LA,K. Murray
